City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lake havasu city,34.4839,-114.3224,19.0,26,0,4.63,US,1735530910
83,barra dos coqueiros,-10.9089,-37.0386,26.01,78,20,3.6,BR,1735531032
84,jhawarian,32.3614,72.6228,14.73,28,8,0.98,PK,1735531033
85,avarua,-21.2078,-159.775,28.03,83,75,2.57,CK,1735531035
86,nuuk,64.1835,-51.7216,-7.66,67,0,2.57,GL,1735531036
87,clinton,42.587,-82.9199,6.94,91,100,5.14,US,1735531034
88,belyy yar,53.6039,91.3903,-7.06,79,0,6.0,RU,1735531038
89,hermanus,-34.4187,19.2345,18.2,84,16,1.15,ZA,1735531039
90,san fernando,15.0286,120.6898,24.85,60,69,7.33,PH,1735531041
91,tiksi,71.6872,128.8694,-33.75,98,45,1.31,RU,1735531042
92,port alfred,-33.5906,26.891,23.82,91,75,6.59,ZA,1735531043
93,leticia,-4.2153,-69.9406,24.03,100,75,1.54,CO,1735531044
94,puerto natales,-51.7236,-72.4875,11.56,92,100,1.84,CL,1735531046
95,alice springs,-23.7,133.8833,35.75,11,0,3.6,AU,1735530768
96,dankov,53.2515,39.1555,1.28,89,100,6.38,RU,1735531049
97,bodo,67.28,14.405,1.02,86,100,21.61,NO,1735530814
98,leer,53.2316,7.461,6.64,100,100,7.76,DE,1735531053
99,vinhais,41.8351,-7.005,1.11,74,0,1.7,PT,1735531054
100,umluj,25.0213,37.2685,17.78,52,100,4.61,SA,1735531055
101,coronel dorrego,-38.7187,-61.2873,18.54,83,49,3.37,AR,1735531056
102,wanning,18.8003,110.3967,23.45,61,84,4.17,CN,1735531058
103,nuoro,40.3211,9.3297,5.36,61,0,1.25,IT,1735531059
104,la passe,45.5549,-0.8967,3.83,92,6,2.82,FR,1735531060
105,mongoumba,3.6415,18.5936,21.39,54,27,1.7,CF,1735531061
106,vila velha,-20.3297,-40.2925,22.97,96,100,2.06,BR,1735531063
107,remire-montjoly,4.9167,-52.2667,24.02,100,0,0.0,GF,1735531064
108,harar,9.3094,42.1258,11.25,65,64,4.24,ET,1735531065
109,castillos,-34.1667,-53.8333,15.14,79,2,1.8,UY,1735531066
110,gangapur,26.4833,76.7167,14.78,50,0,0.67,IN,1735531068
111,berezovo,63.9381,65.0419,-11.52,96,50,3.98,RU,1735531069
112,phang nga,8.4509,98.5298,29.72,59,99,3.31,TH,1735531070
113,mejit,10.2753,170.8646,27.27,77,96,8.45,MH,1735531071
114,iskateley,67.6803,53.1512,-3.18,95,100,10.12,RU,1735531072
115,nakhon nayok,14.1667,101.1,28.34,45,38,0.87,TH,1735531074
116,galle,6.0367,80.217,28.29,83,66,3.77,LK,1735531075
117,vadso,70.0744,29.7487,-0.91,80,75,6.69,NO,1735531076
118,afzalgarh,29.4,78.6833,15.95,61,5,1.01,IN,1735531077
119,chhala,23.3,72.7667,14.78,32,0,5.65,IN,1735531079
120,paramonga,-10.6667,-77.8333,20.14,89,99,3.03,PE,1735531080
121,carnarvon,-24.8667,113.6333,29.92,53,30,3.58,AU,1735531081
122,jerome,42.7241,-114.5186,3.71,86,100,5.14,US,1735531082
123,jolo,6.05,121.0167,29.86,70,100,3.14,PH,1735531085
124,guaratinga,-16.5667,-39.5667,21.94,96,98,1.39,BR,1735531086
125,hadibu,12.65,54.0333,23.25,66,63,5.09,YE,1735531087
126,san antonio de pale,-1.4014,5.6325,27.21,76,100,2.54,GQ,1735531088
127,colonia,50.9333,6.95,1.09,93,100,3.6,DE,1735530836
128,kuta,-8.7233,115.1723,29.97,74,20,5.66,ID,1735531091
129,howard springs,-12.497,131.047,32.95,64,79,2.49,AU,1735531092
130,ratnagiri,16.9833,73.3,27.66,43,0,2.24,IN,1735531093
131,strelka,58.0728,93.0344,-9.34,95,99,2.29,RU,1735531095
132,sukhinichi,54.0999,35.3425,0.56,97,100,5.24,RU,1735531096
133,gillette,44.2911,-105.5022,2.51,83,100,1.79,US,1735531097
134,farasan,16.7022,42.1183,26.32,73,2,2.5,SA,1735531098
135,yuzhno-kurilsk,44.0306,145.8556,-4.27,64,100,8.85,RU,1735531099
136,olyokminsk,60.3736,120.4264,-22.35,97,99,0.53,RU,1735531101
137,sungai penuh,-2.0833,101.3833,26.56,56,70,2.9,ID,1735531102
138,mont-dore,-22.2833,166.5833,24.78,67,74,5.35,NC,1735531104
139,alo,6.5486,4.2686,24.76,90,96,0.85,NG,1735531106
140,kodiak,57.79,-152.4072,0.73,86,100,0.0,US,1735531107
141,laghouat,33.8,2.8651,3.91,82,20,1.09,DZ,1735531074
142,east london,-33.0153,27.9116,23.52,94,75,2.57,ZA,1735530913
143,lebu,-37.6167,-73.65,11.94,100,60,4.48,CL,1735531111
144,ixtapa,20.7,-105.2,20.68,81,0,1.03,MX,1735531112
145,kamiiso,41.8167,140.65,0.21,55,40,6.69,JP,1735531113
146,mogocha,53.7333,119.7667,-17.65,85,32,0.43,RU,1735531114
147,tuban,-6.8976,112.0649,29.79,68,58,3.15,ID,1735531115
148,saint-pierre,-21.3393,55.4781,28.82,70,17,2.06,RE,1735531118
149,sungai besar,3.6746,100.9867,25.41,87,100,0.36,MY,1735531119
150,villamontes,-21.25,-63.5,22.64,46,54,0.72,BO,1735531121
151,qaqortoq,60.7167,-46.0333,-16.11,60,0,3.08,GL,1735531122
152,la rioja,42.25,-2.5,-0.12,50,0,2.33,ES,1735531123
153,itoman,26.1247,127.6694,22.01,49,75,1.03,JP,1735531124
154,watsa,3.0372,29.5355,16.07,50,40,1.26,CD,1735531125
155,kirakira,-10.4544,161.9205,28.34,75,100,1.29,SB,1735531127
156,shemysheyka,52.892,45.3928,-15.1,99,99,2.16,RU,1735531128
157,bathsheba,13.2167,-59.5167,25.34,78,40,4.12,BB,1735531130
158,bayanhongor,46.7167,100.1167,-20.75,70,97,0.13,MN,1735531132
159,dakhla,23.6848,-15.958,17.56,41,0,7.57,EH,1735531133
160,hithadhoo,-0.6,73.0833,26.78,72,91,4.5,MV,1735531134
161,polyarnyy,69.1989,33.4478,-4.87,87,89,6.57,RU,1735531135
162,nuku'alofa,-21.1333,-175.2,28.19,65,40,5.66,TO,1735531090
163,ilhabela,-23.7781,-45.3581,23.08,91,87,2.53,BR,1735531138
164,hilo,19.7297,-155.09,22.84,86,1,1.62,US,1735531139
165,ghat,24.9647,10.1728,9.52,43,100,1.79,LY,1735531140
166,at taj,24.2049,23.2857,8.66,58,100,3.51,LY,1735531141
167,bilibino,68.0546,166.4372,-32.06,76,48,2.8,RU,1735531143
168,knysna,-34.0363,23.0471,20.83,94,53,1.44,ZA,1735531144
169,fuyu,45.1833,124.8167,-10.8,86,94,4.32,CN,1735531145
170,trincomalee,8.5711,81.2335,26.71,80,87,4.15,LK,1735531148
171,aasiaat,68.7098,-52.8699,-23.95,90,34,2.65,GL,1735531149
172,invercargill,-46.4,168.35,16.68,61,96,4.47,NZ,1735531150
173,lospalos,-8.5186,127.0025,28.12,70,100,0.57,TL,1735531151
174,turkmenbasy,40.0222,52.9552,6.43,87,75,2.06,TM,1735531153
175,utrik,11.2278,169.8474,26.96,78,49,8.56,MH,1735531154
176,devils lake,48.1128,-98.8651,-7.01,93,0,3.6,US,1735531155
177,launceston,-41.45,147.1667,20.8,68,100,8.75,AU,1735531156
178,susanville,40.4163,-120.653,2.91,89,0,4.63,US,1735531158
179,dampit,-8.2116,112.7493,29.38,63,22,2.99,ID,1735530863
180,paragominas,-2.9667,-47.4833,22.69,99,100,0.89,BR,1735531160
181,totskoye,52.5248,52.7623,-11.44,98,100,0.69,RU,1735531161
182,tsiombe,-25.3,45.4833,28.8,58,0,2.54,MG,1735531162
183,qaryat suluq,31.6682,20.2521,11.0,79,10,0.43,LY,1735531164
184,el calafate,-50.3408,-72.2768,15.84,62,100,3.01,AR,1735531165
185,kapuskasing,49.4169,-82.4331,1.0,100,100,2.57,CA,1735531166
